"","clone1","clone2","clone3","clone4"
"NCOA2",4,4,3,2
"MSC",4,4,3,2
"SBSPON",4,4,3,2
"RPL7",4,4,3,2
"RDH10",4,4,3,2
"STAU2",4,4,3,2
"UBE2W",4,4,3,2
"TMEM70",4,4,3,2
"LY96",4,4,3,2
"JPH1",4,4,3,2
"GDAP1",4,4,3,2
"PEX2",4,4,3,2
"ZC2HC1A",4,4,3,2
"IL7",4,4,3,2
"HEY1",4,4,3,2
"MRPS28",4,4,3,2
"TPD52",4,4,3,2
"ZBTB10",4,4,3,2
"ZNF704",4,4,3,2
"PAG1",4,4,3,2
"FABP5",4,4,3,2
"LRRCC1",4,4,3,2
"E2F5",4,4,3,2
"C8orf59",4,4,3,2
"CA13",4,4,3,2
"CA3",4,4,3,2
"CA2",4,4,3,2
"WWP1",4,4,3,2
"RMDN1",4,4,3,2
"CPNE3",4,4,3,2
"DECR1",4,4,3,2
"TMEM64",4,4,3,2
"C8orf88",4,4,3,2
"OTUD6B",4,4,3,2
"LRRC69",4,4,3,2
"RUNX1T1",4,4,3,2
"TRIQK",4,4,3,2
"RBM12B",4,4,3,2
"TMEM67",4,4,3,2
"PDP1",4,4,3,2
"GEM",4,4,3,2
"RAD54B",4,4,3,2
"FSBP",4,4,3,2
"ESRP1",4,4,3,2
"DPY19L4",4,4,3,2
"INTS8",4,4,3,2
"CCNE2",4,4,3,2
"NDUFAF6",4,4,3,2
"TP53INP1",4,4,3,2
"PLEKHF2",4,4,3,2
"C8orf37",4,4,3,2
"UQCRB",4,4,3,2
"PTDSS1",4,4,3,2
"SDC2",4,5,4,3
"CPQ",4,5,4,3
"MTDH",5,5,4,3
"LAPTM4B",5,5,4,3
"MATN2",5,5,4,3
"RPL30",5,5,4,3
"POP1",5,5,4,3
"NIPAL2",5,5,4,3
"VPS13B",5,5,4,3
"RGS22",5,5,4,3
"FBXO43",5,5,4,3
"POLR2K",5,5,4,3
"SPAG1",5,5,4,3
"RNF19A",5,5,4,3
"ANKRD46",5,5,4,3
"PABPC1",5,5,4,3
"YWHAZ",5,5,4,3
"ZNF706",5,5,4,3
"RRM2B",6,6,5,4
"UBR5",6,6,5,4
"KLF10",6,6,5,4
"AZIN1",6,6,5,4
"AP003354.1",6,6,5,4
"ATP6V1C1",6,6,5,4
"BAALC",6,6,5,4
"FZD6",6,6,5,4
"CTHRC1",6,6,5,4
"SLC25A32",6,6,5,4
"DCAF13",6,6,5,4
"DPYS",6,6,5,4
"DCSTAMP",6,6,5,4
"OXR1",6,6,5,4
"ANGPT1",6,6,5,4
"EIF3E",6,6,5,4
"EMC2",6,6,5,4
"NUDCD1",6,6,5,4
"ENY2",6,6,5,4
"PKHD1L1",6,6,5,4
"EBAG9",6,6,5,4
"SYBU",6,6,5,4
"TRPS1",7,6,6,4
"EIF3H",7,7,6,4
"UTP23",7,7,6,4
"RAD21",7,7,6,4
"RAD21-AS1",7,7,6,4
"AARD",7,7,6,4
"MED30",7,6,6,4
"EXT1",7,6,6,4
"SAMD12",7,7,6,4
"AC023590.1",7,7,6,4
"TNFRSF11B",7,8,6,4
"ENPP2",7,8,6,4
"TAF2",7,8,6,4
"DSCC1",7,8,6,4
"DEPTOR",7,8,6,4
"COL14A1",7,8,6,4
"MRPL13",7,8,6,4
"MTBP",7,8,6,4
"SNTB1",7,8,6,4
"ZHX2",7,8,6,4
"DERL1",7,8,6,4
"TBC1D31",7,8,6,4
"FAM83A",7,8,6,4
"C8orf76",7,8,6,4
"ZHX1",7,8,6,4
"ATAD2",7,8,6,4
"WDYHV1",7,8,6,4
"FBXO32",7,8,6,4
"FAM91A1",7,8,6,4
"FER1L6",7,8,6,4
"TMEM65",7,8,6,4
"TRMT12",7,8,6,4
"RNF139-AS1",7,8,6,4
"RNF139",7,8,6,4
"TATDN1",7,8,6,4
"NDUFB9",7,8,6,4
"MTSS1",7,8,6,4
"ZNF572",7,8,6,4
"SQLE",7,8,6,4
"NSMCE2",7,8,6,4
"TRIB1",7,8,6,4
"FAM84B",7,8,6,4
"PCAT1",7,8,6,4
"MYC",7,8,6,4
"PVT1",7,8,6,4
"CCDC26",7,8,6,4
"GSDMC",7,8,6,4
"FAM49B",7,8,6,4
"ASAP1",7,8,6,4
"KCNQ3",7,8,6,4
"LRRC6",7,8,6,4
"TMEM71",7,8,6,4
"PHF20L1",7,8,6,4
"TG",7,8,6,4
"SLA",7,8,6,4
"NDRG1",7,8,6,4
"ST3GAL1",6,7,6,4
"ZFAT",6,7,6,4
"AC083843.3",6,7,6,4
"FAM135B",6,7,6,4
"COL22A1",6,7,6,4
"TRAPPC9",6,7,6,4
"CHRAC1",6,7,6,4
"AGO2",6,7,6,4
"PTK2",6,7,6,4
"DENND3",6,7,6,4
"SLC45A4",6,7,6,4
"GPR20",6,7,6,4
"PTP4A3",6,7,6,4
"TSNARE1",6,7,6,4
"ARC",6,7,6,4
"JRK",6,7,6,4
"PSCA",6,7,6,4
"LY6K",6,7,6,4
"THEM6",6,7,6,4
"LYPD2",6,7,6,4
"LYNX1",6,7,6,4
"LY6E",6,7,6,4
"ZFP41",6,7,6,4
"GLI4",6,7,6,4
"ZNF696",6,7,6,4
"TOP1MT",6,7,6,4
"RHPN1-AS1",6,7,6,4
"RHPN1",6,7,6,4
"BOP1",6,7,6,4
"HSF1",6,7,6,4
"DGAT1",6,7,6,4
"TMEM249",6,7,6,4
"SLC52A2",6,7,6,4
"FBXL6",6,7,6,4
"ADCK5",6,7,6,4
"CPSF1",6,7,6,4
"SLC39A4",6,7,6,4
"VPS28",6,7,6,4
"TONSL",6,7,6,4
"CYHR1",6,7,6,4
"KIFC2",6,7,6,4
"FOXH1",6,7,6,4
"PPP1R16A",6,7,6,4
"GPT",6,7,6,4
"MFSD3",6,7,6,4
"RECQL4",6,7,6,4
"LRRC14",6,7,6,4
"LRRC24",6,7,6,4
"C8orf82",6,7,6,4
"ARHGAP39",6,7,6,4
"ZNF251",6,7,6,4
"SPIN1",3,3,3,2
"NXNL2",3,3,3,2
"C9orf47",3,3,3,2
"S1PR3",3,3,3,2
"SHC3",3,3,3,2
"CKS2",3,3,3,2
"SECISBP2",3,3,3,2
"SYK",3,3,3,2
"LINC00484",3,3,3,2
"AUH",3,3,3,2
"NFIL3",3,3,3,2
"IARS",3,3,3,2
"NOL8",3,3,3,2
"CENPP",3,3,3,2
"ECM2",3,3,3,2
"IPPK",3,3,3,2
"BICD2",3,3,3,2
"ZNF484",3,3,3,2
"FGD3",3,3,3,2
"SUSD3",3,3,3,2
"NINJ1",3,3,3,2
"WNK2",3,3,3,2
"FAM120AOS",3,3,3,2
"FAM120A",3,3,3,2
"PHF2",3,3,3,2
"ZNF169",3,3,3,2
"PCAT7",3,3,3,2
"FBP1",3,3,3,2
"C9orf3",3,3,3,2
"FANCC",3,3,3,2
"LINC00476",3,3,3,2
"ERCC6L2",3,3,3,2
"SLC35D2",3,3,3,2
"ZNF367",3,3,3,2
"HABP4",3,3,3,2
"CDC14B",3,3,3,2
"AAED1",3,3,3,2
"CCDC180",3,3,3,2
"TDRD7",3,3,3,2
"TMOD1",3,3,3,2
"TSTD2",3,3,3,2
"NCBP1",3,3,3,2
"XPA",3,3,3,2
"ANP32B",3,3,3,2
"NANS",3,3,3,2
"TRIM14",3,3,3,2
"CORO2A",3,3,3,2
"TBC1D2",3,3,3,2
"GABBR2",3,3,3,2
"ANKS6",3,3,3,2
"GALNT12",3,3,3,2
"COL15A1",3,3,3,2
"TGFBR1",3,3,3,2
"ALG2",3,3,3,2
"SEC61B",3,3,3,2
"NR4A3",3,3,3,2
"STX17",3,3,3,2
"ERP44",3,3,3,2
"INVS",3,3,3,2
"TEX10",3,3,3,2
"MSANTD3",3,3,3,2
"MRPL50",3,3,3,2
"ZNF189",3,3,3,2
"TMEM246",3,3,3,2
"RNF20",3,3,3,2
"SMC2",3,3,3,2
"NIPSNAP3A",3,3,3,1
"NIPSNAP3B",3,3,3,1
"ABCA1",3,3,3,1
"ZNF462",3,3,3,1
"RAD23B",3,3,3,1
"KLF4",3,3,3,1
"FAM206A",3,3,3,1
"CTNNAL1",3,3,3,1
"TMEM245",3,3,3,1
"EPB41L4B",3,3,3,1
"PTPN3",3,3,3,1
"PALM2",3,3,3,1
"AKAP2",3,3,3,1
"C9orf152",3,3,3,1
"ZNF483",3,3,3,1
"PTGR1",3,3,3,1
"DNAJC25",3,3,3,1
"DNAJC25-GNG10",3,3,3,1
"GNG10",3,3,3,1
"UGCG",3,3,3,1
"SUSD1",3,3,3,1
"PTBP3",3,3,3,1
"HSDL2",3,3,3,1
"KIAA1958",3,3,3,1
"INIP",3,3,3,1
"SLC31A1",3,3,3,1
"CDC26",3,3,3,1
"PRPF4",3,3,3,1
"RNF183",3,3,3,1
"WDR31",3,3,3,1
"BSPRY",3,3,3,1
"HDHD3",3,3,3,1
"ALAD",3,3,3,1
"POLE3",3,3,3,1
"C9orf43",3,3,3,1
"RGS3",3,3,3,1
"ZNF618",3,3,3,1
"KIF12",3,3,3,1
"COL27A1",3,3,3,1
"ORM2",3,3,3,1
"AKNA",3,3,3,1
"ATP6V1G1",3,3,3,1
"TNFSF15",3,3,3,1
"TNC",3,3,3,1
"ASTN2",3,3,3,1
"TRIM32",3,3,3,1
"TLR4",3,3,3,1
"TTLL11",3,3,3,1
"NDUFA8",3,3,3,1
"RBM18",3,3,3,1
"MRRF",3,3,3,1
"PTGS1",3,3,3,1
"OR1N2",3,3,3,1
"PDCL",3,3,3,1
"RC3H2",3,3,3,1
"ZBTB6",3,3,3,1
"ZBTB26",3,3,3,1
"RABGAP1",3,3,3,1
"STRBP",3,3,3,1
"CRB2",3,3,3,1
"DENND1A",3,3,3,1
"LHX2",2,2,2,1
"NEK6",2,2,2,1
"PSMB7",2,2,2,1
"NR6A1",2,2,2,1
"MIR181A2HG",2,2,2,1
"OLFML2A",2,2,2,1
"RPL35",2,2,2,1
"ARPC5L",2,2,2,1
"GOLGA1",2,2,2,1
"SCAI",2,2,2,1
"PPP6C",2,2,2,1
"RABEPK",2,2,2,1
"HSPA5",2,2,2,1
"GAPVD1",2,2,2,1
"MAPKAP1",2,2,2,1
"PBX3",2,2,2,1
"MVB12B",2,2,2,1
"ZBTB43",2,2,2,1
"ZBTB34",2,2,2,1
"RALGPS1",2,2,2,1
"ANGPTL2",2,2,2,1
"GARNL3",2,2,2,1
"SLC2A8",2,2,2,1
"ZNF79",2,2,2,1
"RPL12",2,2,2,1
"LRSAM1",2,2,2,1
"FAM129B",2,2,2,1
"STXBP1",2,2,2,1
"PTRH1",2,2,2,1
"TTC16",2,2,2,1
"TOR2A",2,2,2,1
"SH2D3C",2,2,2,1
"CDK9",2,2,2,1
"FPGS",2,2,2,1
"ENG",2,2,2,1
"AK1",2,2,2,1
"ST6GALNAC6",2,2,2,1
"ST6GALNAC4",2,2,2,1
"PIP5KL1",2,2,2,1
"DPM2",2,2,2,1
"FAM102A",2,2,2,1
"NAIF1",2,2,2,1
"SLC25A25",2,2,2,1
"PTGES2",2,2,2,1
"AL590708.1",2,2,2,1
"LCN2",2,2,2,1
"C9orf16",2,2,2,1
"CIZ1",2,2,2,1
"DNM1",2,2,2,1
"GOLGA2",2,2,2,1
"SWI5",2,2,2,1
"TRUB2",2,2,2,1
"COQ4",2,2,2,1
"SLC27A4",2,2,2,1
"URM1",2,2,2,1
"CERCAM",2,2,2,1
"ODF2",2,2,2,1
"GLE1",2,2,2,1
"SPTAN1",2,2,2,1
"WDR34",2,2,2,1
"HMGA1P4",2,2,2,1
"SET",2,2,2,1
"PKN3",2,2,2,1
"ZDHHC12",2,2,2,1
"ZER1",2,2,2,1
"TBC1D13",2,2,2,1
"ENDOG",2,2,2,1
"LRRC8A",2,2,2,1
"PHYHD1",2,2,2,1
"DOLK",2,2,2,1
"NUP188",2,2,2,1
"SH3GLB2",2,2,2,1
"DOLPP1",2,2,2,1
"CRAT",2,2,2,1
"IER5L",2,2,2,1
"AL158151.1",2,2,2,1
"C9orf106",2,2,2,1
"AL391056.1",2,2,2,1
"NTMT1",2,2,2,1
"ASB6",2,2,2,1
"PRRX2",2,2,2,1
"PTGES",2,2,2,1
"TOR1B",2,2,2,1
"TOR1A",2,2,2,1
"C9orf78",2,2,2,1
"USP20",2,2,2,1
"FNBP1",2,2,2,1
"GPR107",2,2,2,1
"AL360004.1",2,2,2,1
"NCS1",2,2,2,1
"EXOSC2",2,2,2,1
"ABL1",2,2,2,1
"AIF1L",2,2,2,1
"NUP214",2,2,2,1
"FAM78A",2,2,2,1
"PRRC2B",2,2,2,1
"AL358781.1",2,2,2,1
"POMT1",2,2,2,1
"UCK1",2,2,2,1
"RAPGEF1",2,2,2,1
"MED27",2,2,2,1
"NTNG2",2,2,2,1
"SETX",2,2,2,1
"TTF1",2,2,2,1
"DDX31",2,2,2,1
"GTF3C4",2,2,2,1
"AK8",2,2,2,1
"TSC1",2,2,2,1
"GTF3C5",2,2,2,1
"CEL",2,2,2,1
"HSD17B12",2,2,2,1
"ALKBH3",2,2,2,1
"C11orf96",2,2,2,1
"ACCS",2,2,2,1
"EXT2",2,2,2,1
"CD82",2,2,2,1
"TSPAN18",2,2,2,1
"TP53I11",2,2,2,1
"PRDM11",2,2,2,1
"SYT13",2,2,2,1
"CHST1",2,2,2,1
"SLC35C1",2,2,2,1
"CRY2",2,2,2,1
"MAPK8IP1",2,2,2,1
"PEX16",2,2,2,1
"PHF21A",2,2,2,1
"DGKZ",2,2,2,1
"MDK",2,2,2,1
"AMBRA1",2,2,2,1
"HARBI1",2,2,2,1
"ATG13",2,2,2,1
"ARHGAP1",2,2,2,1
"ZNF408",2,2,2,1
"CKAP5",2,2,2,1
"LRP4-AS1",2,2,2,1
"C11orf49",2,2,2,1
"ARFGAP2",2,2,2,1
"PACSIN3",2,2,2,1
"DDB2",2,2,2,1
"ACP2",2,2,2,1
"NR1H3",2,2,2,1
"MADD",2,2,2,1
"SPI1",2,2,2,1
"SLC39A13",2,2,2,1
"PSMC3",2,2,2,1
"C11orf24",2,2,3,2
"LRP5",2,2,3,2
"PPP6R3",2,2,3,2
"GAL",2,2,3,2
"CPT1A",2,2,3,2
"MRPL21",2,2,3,2
"IGHMBP2",2,2,3,2
"TPCN2",2,2,3,2
"FADD",2,2,3,2
"PPFIA1",2,2,3,2
"CTTN",2,2,3,2
"SHANK2",2,2,3,2
"DHCR7",2,2,3,2
"NADSYN1",2,2,3,2
"KRTAP5-8",2,2,3,2
"KRTAP5-9",2,2,3,2
"FAM86C1",2,2,3,2
"ZNF705E",2,2,3,2
"RNF121",2,2,3,2
"IL18BP",2,2,3,2
"NUMA1",2,2,3,2
"AP002490.1",2,2,3,2
"LRTOMT",2,2,3,2
"LAMTOR1",2,2,3,2
"ANAPC15",2,2,3,2
"FOLR3",2,2,3,2
"FOLR1",2,2,3,2
"FOLR2",2,2,3,2
"INPPL1",2,2,3,2
"CLPB",2,2,3,2
"PDE2A",2,2,3,2
"ARAP1",2,2,3,2
"STARD10",2,2,3,2
"ATG16L2",2,2,3,2
"FCHSD2",2,2,3,2
"P2RY2",2,2,3,2
"P2RY6",2,2,3,2
"ARHGEF17",2,2,3,2
"RELT",2,2,3,2
"FAM168A",2,2,3,2
"PLEKHB1",2,2,3,2
"RAB6A",2,2,3,2
"MRPL48",2,2,3,2
"COA4",2,2,3,2
"PAAF1",2,2,3,2
"DNAJB13",2,2,3,2
"UCP2",2,2,3,2
"UCP3",2,2,3,2
"C2CD3",2,2,3,2
"PPME1",2,2,3,2
"P4HA3",2,2,3,2
"RNF169",2,2,3,2
"XRRA1",2,2,3,2
"SPCS2",2,2,3,2
"NEU3",2,2,3,2
"SLCO2B1",2,2,3,2
"ARRB1",2,2,3,2
"RPS3",2,2,3,2
"KLHL35",2,2,3,2
"GDPD5",2,2,3,2
"SERPINH1",2,2,3,2
"MAP6",2,2,3,2
"DGAT2",2,2,3,2
"UVRAG",2,2,3,2
"WNT11",2,2,3,2
"LRRC32",2,2,3,2
"TSKU",2,2,3,2
"ACER3",2,2,3,2
"CAPN5",2,2,3,2
"MYO7A",2,2,3,2
"PAK1",2,2,3,2
"CLNS1A",2,2,3,2
"AQP11",2,2,3,2
"RSF1",2,2,3,2
"ARHGAP42",2,2,3,2
"DCUN1D5",2,2,3,2
"LINC00595",2,2,1,2
"ZMIZ1-AS1",2,2,1,2
"ZMIZ1",2,2,1,2
"DYDC2",2,2,1,2
"FAM213A",2,2,1,2
"TSPAN14",2,2,1,2
"GHITM",2,2,1,2
"CDHR1",2,2,1,2
"CCSER2",2,2,1,2
"LDB3",2,2,1,2
"ATAD1",2,2,1,2
"KLLN",2,2,1,2
"PTEN",2,2,1,2
"RNLS",2,2,1,2
"ANKRD22",2,2,1,2
"STAMBPL1",2,2,1,2
"ACTA2",2,2,1,2
"FAS",2,2,1,2
"CH25H",2,2,1,2
"LIPA",2,2,1,2
"IFIT2",2,2,1,2
"IFIT3",2,2,1,2
"IFIT1",2,2,1,2
"IFIT5",2,2,1,2
"PANK1",2,2,1,2
"KIF20B",2,2,1,2
"LINC00865",2,2,1,2
"RPP30",2,2,1,2
"TNKS2-AS1",2,2,1,2
"TNKS2",2,2,1,2
"FGFBP3",2,2,1,2
"BTAF1",2,2,1,2
"CPEB3",2,2,1,2
"MARCH5",2,2,1,2
"IDE",2,2,1,2
"KIF11",2,2,1,2
"HHEX",2,2,1,2
"EXOC6",2,2,1,2
"MYOF",2,2,1,2
"CEP55",2,2,1,2
"FFAR4",2,2,1,2
"RBP4",2,2,1,2
"FRA10AC1",2,2,1,2
"LGI1",2,2,1,2
"SLC35G1",2,2,1,2
"PLCE1",2,2,1,2
"NOC3L",2,2,1,2
"TBC1D12",2,2,1,2
"HELLS",2,2,1,2
"PDLIM1",2,2,1,2
"SORBS1",2,2,1,2
"ALDH18A1",2,2,1,2
"TCTN3",2,2,1,2
"ENTPD1",2,2,1,2
"ENTPD1-AS1",2,2,1,2
"CC2D2B",2,2,1,2
"CCNJ",2,2,1,2
"ZNF518A",2,2,1,2
"BLNK",2,2,1,2
"TM9SF3",2,2,1,2
"PIK3AP1",2,2,1,2
"ARHGAP19",2,2,1,2
"FRAT1",2,2,1,2
"FRAT2",2,2,1,2
"RRP12",2,2,1,2
"PGAM1",2,2,1,2
"EXOSC1",2,2,1,2
"ZDHHC16",2,2,1,2
"MMS19",2,2,1,2
"UBTD1",2,2,1,2
"ANKRD2",2,2,1,2
"MORN4",2,2,1,2
"PI4K2A",2,2,1,2
"AVPI1",2,2,1,2
"MARVELD1",2,2,1,2
"ZFYVE27",2,2,1,2
"GOLGA7B",2,2,1,2
"CRTAC1",2,2,1,2
"R3HCC1L",2,2,1,2
"PYROXD2",2,2,1,2
"HPS1",2,2,1,2
"GOT1",2,2,1,2
"SLC25A28",2,2,1,2
"ENTPD7",2,2,1,2
"CUTC",2,2,1,2
"COX15",2,2,1,2
"PLEKHS1",2,2,2,1
"DCLRE1A",2,2,2,1
"NHLRC2",2,2,2,1
"ADRB1",2,2,2,1
"AFAP1L2",2,2,2,1
"ABLIM1",2,2,2,1
"FAM160B1",2,2,2,1
"TRUB1",2,2,2,1
"HSPA12A",2,2,2,1
"PDZD8",2,2,2,1
"EMX2OS",2,2,2,1
"EMX2",2,2,2,1
"RAB11FIP2",2,2,2,1
"CASC2",2,2,2,1
"FAM204A",2,2,2,1
"CACUL1",2,2,2,1
"NANOS1",2,2,2,1
"EIF3A",2,2,2,1
"FAM45A",2,2,2,1
"SFXN4",2,2,2,1
"PRDX3",2,2,2,1
"GRK5",2,2,2,1
"RGS10",2,2,2,1
"TIAL1",2,2,2,1
"BAG3",2,2,2,1
"INPP5F",2,2,2,1
"MCMBP",2,2,2,1
"SEC23IP",2,2,2,1
"FGFR2",2,2,2,1
"ATE1",2,2,2,1
"NSMCE4A",2,2,2,1
"TACC2",2,2,2,1
"CUZD1",2,2,2,1
"FAM24B",2,2,2,1
"C10orf88",2,2,2,1
"PSTK",2,2,2,1
"IKZF5",2,2,2,1
"ACADSB",2,2,2,1
"BUB3",2,2,2,1
"OAT",2,2,2,1
"LHPP",2,2,2,1
"AC068896.1",2,2,2,1
"FAM53B",2,2,2,1
"ZRANB1",2,2,2,1
"CTBP2",2,2,2,1
"EDRF1",2,2,2,1
"UROS",2,2,2,1
"BCCIP",2,2,2,1
"DHX32",2,2,2,1
"FANK1",2,2,2,1
"ADAM12",2,2,2,1
"PTPRE",2,2,2,1
"MKI67",2,2,2,1
"MGMT",2,2,2,1
"GLRX3",2,2,2,1
"DPYSL4",2,2,2,1
"STK32C",2,2,2,1
"LRRC27",2,2,2,1
"PWWP2B",2,2,2,1
"C10orf91",2,2,2,1
"INPP5A",2,2,2,1
"WNT5B",2,2,2,1
"FBXL14",2,2,2,1
"ADIPOR2",2,2,2,1
"CACNA2D4",2,2,2,1
"TULP3",2,2,2,1
"TEAD4",2,2,2,1
"TSPAN9",2,2,2,1
"CCND2",2,2,2,1
"CD27",2,2,2,1
"TAPBPL",2,2,2,1
"VAMP1",2,2,2,1
"MRPL51",2,2,2,1
"NCAPD2",2,2,2,1
"GAPDH",2,2,2,1
"IFFO1",2,2,2,1
"NOP2",2,2,2,1
"CHD4",2,2,2,1
"LPAR5",2,2,2,1
"ACRBP",2,2,2,1
"ING4",2,2,2,1
"ZNF384",2,2,2,1
"COPS7A",2,2,2,1
"MLF2",2,2,2,1
"PTMS",2,2,2,1
"LAG3",2,2,2,1
"CD4",2,2,2,1
"GPR162",2,2,2,1
"CDCA3",2,2,2,1
"USP5",2,2,2,1
"TPI1",2,2,2,1
"SPSB2",2,2,2,1
"PHC1",2,2,2,1
"M6PR",2,2,2,1
"KLRG1",2,2,2,1
"A2M-AS1",2,2,2,1
"A2M",2,2,2,1
"LINC00987",2,2,2,1
"CLEC2B",2,2,2,1
"CLEC7A",2,2,2,1
"GABARAPL1",2,2,2,1
"KLRD1",2,2,2,1
"ETV6",2,2,2,1
"BCL2L14",2,2,2,1
"LRP6",2,2,2,1
"MANSC1",2,2,2,1
"LOH12CR2",2,2,2,1
"DUSP16",2,2,2,1
"CREBL2",2,2,2,1
"GPR19",2,2,2,1
"CDKN1B",2,2,2,1
"APOLD1",2,2,2,1
"DDX47",2,2,2,1
"GPRC5A",2,2,2,1
"HEBP1",2,2,2,1
"EMP1",2,2,2,1
"ATF7IP",2,2,2,1
"PLBD1",2,2,2,1
"HIST4H4",2,2,2,1
"H2AFJ",2,2,2,1
"WBP11",2,2,2,1
"C12orf60",2,2,2,1
"MGP",2,2,2,1
"ERP27",2,2,2,1
"ARHGDIB",2,2,2,1
"RERG",2,2,2,1
"PTPRO",2,2,2,1
"EPS8",2,2,2,1
"STRAP",2,2,2,1
"DERA",2,2,2,1
"MGST1",2,2,2,1
"LMO3",2,2,2,1
"PLEKHA5",2,2,2,1
"CMAS",2,2,2,1
"ST8SIA1",2,2,2,1
"SOX5",2,2,2,1
"BCAT1",2,2,2,1
"LRMP",2,2,2,1
"CASC1",2,2,2,1
"KRAS",2,2,2,1
"AC087239.1",2,2,2,1
"RASSF8-AS1",2,2,2,1
"RASSF8",2,2,2,1
"BHLHE41",2,2,2,1
"SSPN",2,2,2,1
"ITPR2",2,2,2,1
"FGFR1OP2",2,2,2,1
"TM7SF3",2,2,2,1
"MED21",2,2,2,1
"STK38L",2,2,2,1
"ARNTL2",2,2,2,1
"SMCO2",2,2,2,1
"PPFIBP1",2,2,2,1
"REP15",2,2,2,1
"MRPS35",2,2,2,1
"KLHL42",2,2,2,1
"CCDC91",2,2,2,1
"FAR2",2,2,2,1
"ERGIC2",2,2,2,1
"OVCH1-AS1",2,2,2,1
"TMTC1",2,2,2,1
"IPO8",2,2,2,1
"CAPRIN2",2,2,2,1
"LINC00941",2,2,2,1
"DDX11-AS1",2,2,2,1
"DDX11",2,2,2,1
"AC024940.1",2,2,2,1
"DENND5B",2,2,2,1
"AMN1",2,2,2,1
"H3F3C",2,2,2,1
"KIAA1551",2,2,2,1
"BICD1",2,2,2,1
"FGD4",2,2,2,1
"DNM1L",2,2,2,1
"YARS2",2,2,2,1
"PKP2",2,2,2,1
"KIF21A",2,2,2,1
"GXYLT1",2,2,2,1
"YAF2",2,2,2,1
"PPHLN1",2,2,2,1
"ZCRB1",2,2,2,1
"PRICKLE1",2,2,2,1
"PUS7L",2,2,2,1
"IRAK4",2,2,2,1
"TWF1",2,2,2,1
"ANO6",2,2,2,1
"ARID2",2,2,2,1
"SCAF11",2,2,2,1
"SLC38A1",2,2,2,1
"SLC38A2",2,2,2,1
"AMIGO2",2,2,2,1
"PCED1B",2,2,2,1
"RPAP3",2,2,2,1
"RAPGEF3",2,2,2,1
"SLC48A1",2,2,2,1
"HDAC7",2,2,2,1
"AC004466.1",2,2,2,1
"VDR",2,2,2,1
"TMEM106C",2,2,2,1
"SENP1",2,2,2,1
"RNASE4",4,4,3,2
"ANG",4,4,3,2
"RNASE1",4,4,3,2
"METTL17",4,4,3,2
"SLC39A2",4,4,3,2
"NDRG2",4,4,3,2
"ARHGEF40",4,4,3,2
"ZNF219",4,4,3,2
"TMEM253",4,4,3,2
"HNRNPC",4,4,3,2
"SUPT16H",4,4,3,2
"CHD8",4,4,3,2
"RAB2B",4,4,3,2
"TOX4",4,4,3,2
"METTL3",4,4,3,2
"SALL2",4,4,3,2
"TRDC",4,4,3,2
"RPS29",4,4,3,2
"LRR1",4,4,3,2
"RPL36AL",4,4,3,2
"MGAT2",4,4,3,2
"AL139099.1",4,4,3,2
"DNAAF2",4,4,3,2
"POLE2",4,4,3,2
"KLHDC1",4,4,3,2
"KLHDC2",4,4,3,2
"NEMF",4,4,3,2
"AL627171.2",4,4,3,2
"AL627171.1",4,4,3,2
"ARF6",4,4,3,2
"VCPKMT",4,4,3,2
"SOS2",4,4,3,2
"L2HGDH",4,4,3,2
"ATP5S",4,4,3,2
"CDKL1",4,4,3,2
"MAP4K5",4,4,3,2
"ATL1",4,4,1,1
"SAV1",4,4,1,1
"NIN",4,4,1,1
"PYGL",4,4,1,1
"ABHD12B",4,4,1,1
"PAPOLA",2,1,1,1
"VRK1",2,1,1,1
"SETD3",2,1,1,1
"CCNK",2,1,1,1
"CCDC85C",2,1,1,1
"HHIPL1",2,1,1,1
"CYP46A1",2,1,1,1
"EML1",2,1,1,1
"EVL",2,1,1,1
"DEGS2",2,1,1,1
"YY1",2,1,1,1
"SLC25A29",2,1,1,1
"WARS",2,1,1,1
"WDR25",2,1,1,1
"BEGAIN",2,1,1,1
"MEG3",2,1,1,1
"MEG8",2,1,1,1
"HSP90AA1",2,1,1,1
"WDR20",2,1,1,1
"MOK",2,1,1,1
"ZNF839",2,1,1,1
"CINP",2,1,1,1
"TECPR2",2,1,1,1
"ANKRD9",2,1,1,1
"RCOR1",2,1,1,1
"TRAF3",2,1,1,1
"AMN",2,1,1,1
"CDC42BPB",2,1,1,1
"EXOC3L4",2,1,1,1
"TNFAIP2",2,1,1,1
"LINC00605",2,1,1,1
"EIF5",2,1,1,1
"MARK3",2,1,1,1
"CKB",2,1,1,1
"TRMT61A",2,1,1,1
"BAG5",2,1,1,1
"KLC1",2,1,1,1
"APOPT1",2,1,1,1
"AL049840.1",2,1,1,1
"XRCC3",2,1,1,1
"ZFYVE21",2,1,1,1
"PPP1R13B",2,1,1,1
"INF2",2,1,1,1
"ADSSL1",2,1,1,1
"SIVA1",2,1,1,1
"AKT1",2,1,1,1
"ZBTB42",2,1,1,1
"LINC00638",2,1,1,1
"CEP170B",2,1,1,1
"PLD4",2,1,1,1
"AHNAK2",2,1,1,1
"CDCA4",2,1,1,1
"SNRPN",2,3,2,2
"SNURF",2,3,2,2
"PWAR6",2,3,2,2
"UBE3A",2,3,2,2
"GABRG3",2,3,2,2
